,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
320,0.004169034957885742,8.396266969352765e-05,0.003870439529418945,6.244899439874309e-05,0.1,10.0,3,1,poly,"{'C': 0.1, 'coef0': 10, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",1.0,0.7867965367965368,0.792389695991391,0.9355130249867092,0.8848096348096348,0.8799017785168542,0.08230094922232488,93
321,0.005720186233520508,0.0008097756302759691,0.0037859439849853515,0.00010517244282913557,0.1,10.0,3,10,poly,"{'C': 0.1, 'coef0': 10, 'degree': 3, 'gamma': 10, 'kernel': 'poly'}",0.9593434343434344,0.7435064935064934,0.8845029239766081,0.8964076858813701,0.7898809523809524,0.8547282980177716,0.07764469654393144,274
322,0.00397801399230957,4.9745566603330754e-05,0.003823375701904297,7.272565516382909e-05,0.1,10.0,3,auto,poly,"{'C': 0.1, 'coef0': 10, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",1.0,0.8068181818181819,0.8335858585858585,0.9355130249867092,0.8573674752920036,0.8866569081365506,0.0711086577341315,33
323,0.004306650161743164,0.00011933383158030004,0.0037677764892578127,6.584142201972961e-05,0.1,10.0,3,scale,poly,"{'C': 0.1, 'coef0': 10, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.967984934086629,0.7867965367965368,0.8135989691743483,0.9355130249867092,0.8430817610062893,0.8693950452101025,0.0703130970120785,188
324,0.00399937629699707,0.00011688003416407582,0.0038328647613525392,7.028479426585967e-05,0.1,10.0,4,0.01,poly,"{'C': 0.1, 'coef0': 10, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",1.0,0.8068181818181819,0.8335858585858585,0.9355130249867092,0.8573674752920036,0.8866569081365506,0.0711086577341315,33
325,0.004153394699096679,0.0001471252905533612,0.003953456878662109,0.00015826576547382272,0.1,10.0,4,0.1,poly,"{'C': 0.1, 'coef0': 10, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",1.0,0.7867965367965368,0.7654596815613766,0.9355130249867092,0.8848096348096348,0.8745157756308515,0.08849950852593681,140
326,0.005276155471801758,0.0006869329638919944,0.003760671615600586,0.00013859914894030583,0.1,10.0,4,1,poly,"{'C': 0.1, 'coef0': 10, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",0.9444444444444444,0.726948051948052,0.8135989691743483,0.8964076858813701,0.8430817610062893,0.8448961824909009,0.0741051423651236,309
327,0.006171274185180664,0.0011331629138885823,0.0037367820739746095,7.094199207317305e-05,0.1,10.0,4,10,poly,"{'C': 0.1, 'coef0': 10, 'degree': 4, 'gamma': 10, 'kernel': 'poly'}",0.9593434343434344,0.719449485783424,0.8845029239766081,0.8672615446662633,0.8682405165456013,0.8597595810630662,0.0779028952153229,259
328,0.004182577133178711,0.00013985683435871756,0.0037965774536132812,9.007717702223117e-05,0.1,10.0,4,auto,poly,"{'C': 0.1, 'coef0': 10, 'degree': 4, 'gamma': 'auto', 'kernel': 'poly'}",1.0,0.7867965367965368,0.792389695991391,0.9355130249867092,0.8848096348096348,0.8799017785168542,0.08230094922232488,93
329,0.00663151741027832,0.0013028169636402243,0.004086589813232422,0.00019957675054779059,0.1,10.0,4,scale,poly,"{'C': 0.1, 'coef0': 10, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",0.9356617017633967,0.7435064935064934,0.8135989691743483,0.8964076858813701,0.8114035087719298,0.8401156718195077,0.06805687598698272,322
330,0.004120302200317383,0.00011066715535463165,0.0038779258728027345,0.000144127168534476,0.1,10.0,5,0.01,poly,"{'C': 0.1, 'coef0': 10, 'degree': 5, 'gamma': 0.01, 'kernel': 'poly'}",0.967984934086629,0.8068181818181819,0.7654596815613766,0.9355130249867092,0.8848096348096348,0.8721170914525063,0.07617156816159516,162
331,0.005826091766357422,0.0006842773980568301,0.003995227813720703,6.73175860826932e-05,0.1,10.0,5,0.1,poly,"{'C': 0.1, 'coef0': 10, 'degree': 5, 'gamma': 0.1, 'kernel': 'poly'}",0.9178362573099416,0.7867965367965368,0.7868341404358354,0.9355130249867092,0.8807692307692307,0.8615498380596506,0.06352730214592592,250
332,0.008188962936401367,0.0021467047603464144,0.00394282341003418,0.00017537708963270276,0.1,10.0,5,1,poly,"{'C': 0.1, 'coef0': 10, 'degree': 5, 'gamma': 1, 'kernel': 'poly'}",0.9593434343434344,0.771858623832308,0.8135989691743483,0.8964076858813701,0.7898809523809524,0.8462179331224826,0.07082873625121786,303
333,0.005453586578369141,0.0007284144513646601,0.0037845611572265626,0.00019617579077814065,0.1,10.0,5,10,poly,"{'C': 0.1, 'coef0': 10, 'degree': 5, 'gamma': 10, 'kernel': 'poly'}",0.9593434343434344,0.719449485783424,0.8845029239766081,0.8995688373476063,0.8682405165456013,0.8662210395993348,0.07957895527159528,218
334,0.006087064743041992,0.0009206778963132473,0.003794956207275391,9.31277008849317e-05,0.1,10.0,5,auto,poly,"{'C': 0.1, 'coef0': 10, 'degree': 5, 'gamma': 'auto', 'kernel': 'poly'}",0.9444444444444444,0.7867965367965368,0.8135989691743483,0.9355130249867092,0.8807692307692307,0.872224441234254,0.0632914843500056,160
